Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_006,SE_T02A_001,SE_T02A_002,SE_T02A_003,SE_T003_001,SE_T003_002,SE_T003_003,SE_T008_001,SE_T008_002,SE_T008_003,SE_T008_004,SE_T008_005,SE_T008_006,SE_T008_007,SE_T008_008,SE_T008_009,SE_T008_010,SE_T008_011,SE_T008_012,SE_T008_013,SE_T044_001,SE_T044_002,SE_T044_003,SE_T054_001,SE_T054_002,SE_T054_003,SE_T054_004,SE_T054_005,SE_T054_006,SE_T054_007,SE_T054_008,SE_T055_001,SE_T055_002,SE_T055_003,SE_T055_004,SE_T055_005,SE_T055_006,SE_T055_007,SE_T055_008,SE_T055_009,SE_T055_010,SE_T055_011,SE_T055_012,SE_T055_013,SE_T055_014,SE_T055_015,SE_T055_016,SE_T055_017,SE_T058_001,SE_T058_002,SE_T058_003,SE_T058_004,SE_T058_005,SE_T058_006,SE_T058_007,SE_T058_008,SE_T058_009,SE_T063_001,SE_T063_002,SE_T063_003,SE_T063_004,SE_T063_005,SE_T063_006,SE_T063_007,SE_T063_008,SE_T063_009,SE_T063_010,SE_T063_011,SE_T063_012,SE_T063_013,SE_T063_014,SE_T063_015,SE_T063_016,SE_T063_017,SE_T063_018,SE_T068_001,SE_T069_001,SE_T069_002,SE_T069_003,SE_T070_001,SE_T070_002,SE_T070_003,SE_T071_001,SE_T071_002,SE_T071_003,SE_T071_004
"Covington County","Covington County, Alabama","2668869505","34526309","050","00","3","6","01039","01","039",37765,37765,36.64881,1030.45636968202,1043.787,1030.456,13.33068,37765,18288,19477,37765,2265,2347,2408,1503,2940,4110,4518,5651,5084,3725,2309,905,42.4,40.5,44.1,37765,32022,4716,214,155,1,135,522,37765,37282,31751,4685,196,148,1,13,488,483,271,31,18,7,0,122,34,15531,10539,7803,2736,708,2028,4992,4367,625,37765,37190,31430,10539,7803,9939,1230,304,273,624,718,5760,4367,625,768,575,475,100,18829,15531,11480,4051,18829,15531,3298,3298,533,1324,1441
"Crenshaw County","Crenshaw County, Alabama","1576888006","5376392","050","00","3","6","01041","01","041",13906,13906,22.84016,608.839911227388,610.9158,608.8399,2.075837,13906,6714,7192,13906,829,943,924,612,1111,1495,1787,2122,1873,1189,711,310,40.7,39.2,42.5,13906,10097,3254,57,189,8,99,202,13906,13702,10020,3241,56,189,1,2,193,204,77,13,1,0,7,97,9,5652,3882,2751,1131,250,881,1770,1587,183,13906,13774,11762,3882,2751,3953,467,119,90,267,233,2012,1587,183,242,132,132,0,6735,5652,4141,1511,6735,5652,1083,1083,139,362,582
"Cullman County","Cullman County, Alabama","1903228333","52266921","050","00","3","6","01043","01","043",80406,80406,109.4197,734.840581500764,755.0209,734.8406,20.18037,80406,39719,40687,80406,4931,5141,5278,3291,6920,9578,10350,11787,10320,7400,4106,1304,39.9,38.5,41.4,80406,76133,856,408,343,18,1759,889,80406,76952,74568,821,397,339,18,41,768,3454,1565,35,11,4,0,1718,121,31864,22487,17603,4884,1563,3321,9377,8185,1192,80406,79350,68418,22487,17603,21864,2323,613,582,1449,1497,10932,8185,1192,1555,1056,696,360,37054,31864,23894,7970,37054,31864,5190,5190,1044,2474,1672
"Dale County","Dale County, Alabama","1453371157","4016457","050","00","3","6","01045","01","045",50251,50251,89.55007,561.149756678409,562.7005,561.1498,1.550763,50251,24825,25426,50251,3690,3459,3350,1978,4726,7255,6139,6982,5913,3917,2157,685,36.1,34.4,37.9,50251,37236,9679,371,534,44,882,1505,50251,47430,35705,9546,337,527,42,66,1207,2821,1531,133,34,7,2,816,298,20065,13721,9802,3919,981,2938,6344,5469,875,50251,49334,41899,13721,9802,14379,1328,400,362,896,1011,7435,5469,875,1091,917,344,573,22677,20065,12349,7716,22677,20065,2612,2612,978,567,1067
"Dallas County","Dallas County, Alabama","2534807386","39134826","050","00","3","6","01047","01","047",43820,43820,44.77393,978.694610168078,993.8046,978.6946,15.11004,43820,20244,23576,43820,3197,3097,3271,2030,4018,4989,5021,6514,5518,3530,1922,713,37.7,35.8,39,43820,12769,30423,85,149,11,84,299,43820,43511,12676,30314,78,144,6,15,278,309,93,109,7,5,5,69,21,17064,11440,5967,5473,842,4631,5624,5114,510,43820,43034,36812,11440,5967,13698,2576,670,396,1152,913,6222,5114,510,598,786,282,504,20208,17064,10653,6411,20208,17064,3144,3144,969,707,1468
"DeKalb County","DeKalb County, Alabama","2012662359","4123588","050","00","3","6","01049","01","049",71109,71109,91.50639,777.093330162147,778.6855,777.0933,1.592126,71109,35113,35996,71109,5046,5199,5043,3078,5826,9043,9658,9714,8627,5715,3118,1042,37.5,36.4,38.6,71109,60087,1078,969,203,147,7051,1574,71109,61419,57997,1029,865,166,35,41,1286,9690,2090,49,104,37,112,7010,288,26842,19361,15043,4318,1357,2961,7481,6616,865,71109,70327,61743,19361,15043,21073,1932,691,522,1676,1445,8584,6616,865,1103,782,630,152,31109,26842,20184,6658,31109,26842,4267,4267,942,1518,1807
"Elmore County","Elmore County, Alabama","1601867593","99862541","050","00","3","6","01051","01","051",79303,79303,128.2215,618.484582940153,657.0417,618.4846,38.55714,79303,38689,40614,79303,4859,5206,5256,3386,7337,10488,11624,12257,9454,5740,2753,943,37.8,36.7,38.6,79303,60455,15900,285,518,63,938,1144,79303,77174,59449,15814,269,514,50,74,1004,2129,1006,86,16,4,13,864,140,28301,21003,16018,4985,1287,3698,7298,6238,1060,79303,73820,65227,21003,16018,22259,2144,573,590,1305,1335,8593,6238,1060,1295,5483,5359,124,32657,28301,21882,6419,32657,28301,4356,4356,898,2446,1012
"Escambia County","Escambia County, Alabama","2447746932","20873208","050","00","3","6","01053","01","053",38319,38319,40.54576,945.080369484337,953.1396,945.0804,8.059191,38319,19766,18553,38319,2385,2379,2391,1524,3256,5019,5239,5586,4728,3384,1814,614,39.2,38.1,40.4,38319,23784,12220,1288,92,12,343,580,38319,37601,23508,12162,1274,86,12,20,539,718,276,58,14,6,0,323,41,14157,9705,6532,3173,720,2453,4452,3927,525,38319,35120,30009,9705,6532,10245,1476,330,218,747,756,5111,3927,525,659,3199,3170,29,16486,14157,10285,3872,16486,14157,2329,2329,574,584,1171
"Etowah County","Etowah County, Alabama","1385618994","35322991","050","00","3","6","01055","01","055",104430,104430,195.1997,534.990487986817,548.6288,534.9905,13.63828,104430,50626,53804,104430,6140,6540,6905,4401,8893,12046,13956,14894,14147,9097,5475,1936,40.2,38.8,41.7,104430,83823,15796,448,672,171,1975,1545,104430,100983,82789,15716,372,657,30,87,1332,3447,1034,80,76,15,141,1888,213,42036,28708,20703,8005,2010,5995,13328,11809,1519,104430,102345,87113,28708,20703,28696,3363,883,852,1980,1928,15232,11809,1519,1904,2085,1479,606,47454,42036,30348,11688,47454,42036,5418,5418,1615,1459,2344
"Fayette County","Fayette County, Alabama","1625631609","4392821","050","00","3","6","01057","01","057",17241,17241,27.4687,627.659902671364,629.356,627.6599,1.696078,17241,8507,8734,17241,997,999,1146,695,1440,1783,2115,2555,2427,1768,975,341,42.5,40.5,44.4,17241,14910,1969,52,37,0,102,171,17241,17037,14832,1958,47,37,0,11,152,204,78,11,5,0,0,91,19,7100,4916,3717,1199,326,873,2184,1955,229,17241,16950,14497,4916,3717,4562,513,122,121,277,269,2453,1955,229,269,291,182,109,8437,7100,5271,1829,8437,7100,1337,1337,191,401,745
"Franklin County","Franklin County, Alabama","1641587713","32897905","050","00","3","6","01059","01","059",31704,31704,50.02047,633.820586041325,646.5225,633.8206,12.70195,31704,15828,15876,31704,2266,2161,2093,1347,2822,3994,4186,4285,3725,2756,1573,496,37.8,36.4,39.3,31704,26320,1228,215,63,10,3338,530,31704,26994,25249,1211,121,51,2,32,328,4710,1071,17,94,12,8,3306,202,12286,8741,6569,2172,665,1507,3545,3204,341,31704,31432,27405,8741,6569,9192,829,353,212,806,703,4027,3204,341,482,272,238,34,14022,12286,8581,3705,14022,12286,1736,1736,466,554,716
"Geneva County","Geneva County, Alabama","1487710425","11765293","050","00","3","6","01061","01","061",26790,26790,46.6393,574.408245906931,578.9509,574.4083,4.542605,26790,13105,13685,26790,1576,1644,1676,1095,2191,2861,3412,3956,3705,2686,1480,508,42,40.9,43.2,26790,23127,2539,224,67,8,409,416,26790,25870,22692,2523,197,64,8,15,371,920,435,16,27,3,0,394,45,10920,7617,5605,2012,565,1447,3303,2918,385,26790,26561,22807,7617,5605,7177,950,222,189,509,538,3754,2918,385,451,229,229,0,12687,10920,8171,2749,12687,10920,1767,1767,376,486,905
"Greene County","Greene County, Alabama","1676007032","33231212","050","00","3","6","01063","01","063",9045,9045,13.97753,647.109963443846,659.9406,647.11,12.83064,9045,4271,4774,9045,555,584,632,423,821,903,926,1387,1360,759,498,197,41.8,38.4,44.1,9045,1575,7370,17,15,0,25,43,9045,8976,1562,7349,11,15,0,0,39,69,13,21,6,0,0,25,4,3764,2372,1250,1122,184,938,1392,1294,98,9045,9000,7503,2372,1250,2706,547,173,68,227,160,1497,1294,98,105,45,44,1,5007,3764,2742,1022,5007,3764,1243,1243,91,723,429
"Hale County","Hale County, Alabama","1667803914","32525967","050","00","3","6","01065","01","065",15760,15760,24.47423,643.942714792501,656.501,643.9427,12.55835,15760,7466,8294,15760,954,969,1230,762,1361,1720,1783,2492,2119,1292,764,314,40,38.8,41.3,15760,6266,9301,25,35,1,44,88,15760,15620,6213,9265,23,35,1,7,76,140,53,36,2,0,0,37,12,6273,4245,2601,1644,295,1349,2028,1852,176,15760,15426,13181,4245,2601,4807,692,187,120,292,237,2245,1852,176,217,334,318,16,7655,6273,4836,1437,7655,6273,1382,1382,87,562,733
"Henry County","Henry County, Alabama","1454926258","16986789","050","00","3","6","01067","01","067",17302,17302,30.80017,561.750173359877,568.3088,561.7502,6.558636,17302,8302,9000,17302,937,1076,1139,766,1199,1864,2133,2496,2648,1748,884,412,42.8,41.2,44.3,17302,11865,4942,57,54,2,206,176,17302,16913,11731,4915,54,45,2,5,161,389,134,27,3,9,0,201,15,6994,4975,3631,1344,322,1022,2019,1808,211,17302,17103,14835,4975,3631,4679,619,177,110,359,285,2268,1808,211,249,199,199,0,8891,6994,5486,1508,8891,6994,1897,1897,172,1148,577
"Houston County","Houston County, Alabama","1501737720","4739984","050","00","3","6","01069","01","069",101547,101547,175.1341,579.824203046501,581.6543,579.8242,1.830118,101547,48740,52807,101547,6731,7051,6936,4208,8468,12866,13220,14761,12631,8168,4829,1678,38.5,37.1,39.7,101547,71053,26176,446,820,49,1244,1759,101547,98552,69731,26038,393,806,43,96,1445,2995,1322,138,53,14,6,1148,314,40969,28041,19616,8425,1804,6621,12928,11131,1797,101547,100131,85015,28041,19616,29058,2838,905,823,1761,1973,15116,11131,1797,2188,1416,1188,228,45319,40969,26931,14038,45319,40969,4350,4350,1590,1169,1591
"Jackson County","Jackson County, Alabama","2791664869","126657194","050","00","3","6","01071","01","071",53227,53227,49.38175,1077.86788819099,1126.771,1077.868,48.90262,53227,26139,27088,53227,2975,3333,3546,2131,4135,5903,7079,7981,7371,5323,2629,821,41.4,40.2,42.7,53227,48348,1781,719,185,48,768,1378,53227,51888,47937,1771,680,165,29,24,1282,1339,411,10,39,20,19,744,96,21513,15209,11780,3429,994,2435,6304,5630,674,53227,52630,45514,15209,11780,14387,1606,389,406,845,892,7116,5630,674,812,597,471,126,24786,21513,16276,5237,24786,21513,3273,3273,659,1115,1499
"Jefferson County","Jefferson County, Alabama","2878192209","32474487","050","00","3","6","01073","01","073",658466,658466,592.5313,1111.27624066212,1123.815,1111.276,12.53847,658466,311813,346653,658466,43897,41902,42373,26356,64711,93297,83593,95233,80661,44273,29627,12543,37.1,35.3,38.6,658466,349166,276525,1740,9158,244,14358,7275,658466,632978,340213,275511,1431,9085,154,531,6053,25488,8953,1014,309,73,90,13827,1222,263568,170207,110228,59979,11507,48472,93361,79406,13955,658466,642692,531582,170207,110228,188363,22240,8618,5612,14222,12092,111110,79406,13955,17749,15774,7005,8769,300552,263568,171158,92410,300552,263568,36984,36984,14880,8253,13851
"Lamar County","Lamar County, Alabama","1566544654","1600679","050","00","3","6","01075","01","075",14564,14564,24.07884,604.846292724136,605.4643,604.8463,0.6180257,14564,7097,7467,14564,861,892,933,541,1055,1466,1814,2210,2060,1547,914,271,43.5,42.4,44.5,14564,12626,1643,24,4,2,82,183,14564,14384,12542,1635,24,4,1,4,174,180,84,8,0,0,1,78,9,6103,4207,3245,962,257,705,1896,1757,139,14564,14347,12295,4207,3245,3872,372,91,93,234,181,2052,1757,139,156,217,197,20,7354,6103,4469,1634,7354,6103,1251,1251,189,266,796
"Lauderdale County","Lauderdale County, Alabama","1729327931","138027479","050","00","3","6","01077","01","077",92709,92709,138.8489,667.697252651364,720.99,667.6973,53.29271,92709,44379,48330,92709,5158,5466,5718,3640,10147,10224,11412,13280,12111,8520,5160,1873,40.4,38.9,41.9,92709,80112,9257,338,685,34,977,1306,92709,90627,79228,9190,323,675,23,40,1148,2082,884,67,15,10,11,937,158,38680,25669,19441,6228,1522,4706,13011,11183,1828,92709,90818,75621,25669,19441,24805,2124,650,495,1119,1318,15197,11183,1828,2186,1891,657,1234,43791,38680,26926,11754,43791,38680,5111,5111,1279,2022,1810
"Lawrence County","Lawrence County, Alabama","1788846568","68688464","050","00","3","6","01079","01","079",34339,34339,49.71785,690.67755989603,717.1983,690.6776,26.52077,34339,16791,17548,34339,2156,2119,2161,1528,2872,3795,4730,5481,4498,3034,1497,468,40.6,39.6,41.6,34339,26647,3938,1953,42,6,275,1478,34339,33765,26420,3917,1928,41,5,25,1429,574,227,21,25,1,1,250,49,13654,9985,7607,2378,656,1722,3669,3308,361,34339,34110,30007,9985,7607,9744,1146,222,185,554,564,4103,3308,361,434,229,229,0,15229,13654,10972,2682,15229,13654,1575,1575,241,447,887
"Lee County","Lee County, Alabama","1573510728","21530362","050","00","3","6","01081","01","081",140247,140247,230.8456,607.535936073835,615.8489,607.5359,8.31292,140247,69126,71121,140247,8687,8455,8988,5461,28819,19347,17261,17146,13367,7527,3892,1297,29.5,28.3,30.7,140247,100006,31901,445,3658,105,1873,2259,140247,135676,97900,31674,397,3615,66,164,1860,4571,2106,227,48,43,39,1709,399,55682,33692,23989,9703,2472,7231,21990,15538,6452,140247,135837,104556,33692,23989,36639,3306,1677,846,2016,2391,31281,15538,6452,9291,4410,611,3799,62391,55682,34202,21480,62391,55682,6709,6709,2755,2708,1246
